Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,04:06:00.193,02:49:19.00,13.14,71,166,0:18:43  ,0:12:53  ,0:10:23  ,76.625,256.0,--,86.0,119.0,26.8,800
2,00:11:45.642,00:11:35.00,1.08,122,0,0:10:52  ,0:10:42  ,0:09:52  ,113.109375,121.0,--,156.0,167.0,33.36,143
3,00:10:35.618,00:01:07.00,0.15,6,0,1:11:50  ,0:07:34  ,0:10:45  ,32.546875,256.0,--,118.0,163.0,29.85,49
4,02:24:44.964,01:40:48.00,7.75,24,154,0:18:39  ,0:13:00  ,0:10:34  ,76.71875,256.0,--,106.0,124.0,30.25,553
Summary,06:53:06.418,04:42:55.00,22.12,223,320,0:18:39  ,0:12:47  ,0:09:52  ,76.5625,256.0,--,98.0,167.0,28.27,1545
