Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:01:40.231,00:01:28.00,0.13,0,1,0:13:07  ,0:11:31  ,0:11:31  ,103.015625,115.0,--,98.0,111.0,26.34,7
2,05:22:40.402,04:41:48.00,23.14,417,465,0:13:56  ,0:12:10  ,0:04:45  ,95.140625,256.0,--,108.0,152.0,24.46,1464
3,01:04:18.169,00:43:19.00,3.45,3,56,0:18:37  ,0:12:32  ,0:08:53  ,71.203125,256.0,--,105.0,132.0,28.59,247
Summary,06:28:38.803,05:26:40.00,26.72,420,522,0:14:32  ,0:12:13  ,0:04:45  ,91.203125,256.0,--,108.0,152.0,25.15,1718
