Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:51:43.286,00:45:13.00,3.76,142,3,0:13:45  ,0:12:01  ,0:08:40  ,99.734375,235.0,--,111.0,129.0,20.31,301
2,02:55:11.341,01:55:42.00,9.55,183,221,0:18:20  ,0:12:06  ,0:02:02  ,73.953125,256.0,--,103.0,144.0,24.68,705
3,00:15:02.721,00:00:01.00,0.06,0,1,4:28:49  ,0:00:17  ,0:43:30  ,2.21875,91.0,--,83.0,110.0,31.33,32
4,01:54:58.703,01:42:37.00,7.91,18,116,0:14:31  ,0:12:57  ,0:10:19  ,92.359375,256.0,--,102.0,123.0,30.42,448
Summary,05:56:56.51,04:23:37.00,21.28,343,341,0:16:46  ,0:12:23  ,0:02:02  ,80.59375,256.0,--,103.0,144.0,26.18,1486
