Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,01:53:15.157,01:40:51.00,7.48,120,23,0:15:08  ,0:13:28  ,0:09:58  ,93.578125,163.0,--,92.0,110.0,18.28,442
2,04:07:49.05,03:02:05.00,13.81,177,212,0:17:56  ,0:13:11  ,0:08:47  ,78.703125,256.0,--,90.0,115.0,21.95,817
Summary,06:01:04.162,04:43:02.00,21.29,297,235,0:16:57  ,0:13:17  ,0:08:47  ,83.375,256.0,--,91.0,115.0,20.8,1259
