Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,08:31:30.932,06:38:08.00,34.8,656,745,0:14:41  ,0:11:26  ,0:03:00  ,88.515625,256.0,--,95.0,135.0,22.62,2013
Summary,08:31:30.932,06:38:08.00,34.8,656,745,0:14:41  ,0:11:26  ,0:03:00  ,88.515625,256.0,--,95.0,135.0,22.62,2013
