Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,05:09:27.395,03:44:08.00,20.36,138,211,0:15:11  ,0:11:00  ,0:04:53  ,80.65625,234.0,--,92.0,122.0,20.74,1072
2,01:58:37.440,01:41:05.00,8.53,90,19,0:13:54  ,0:11:51  ,0:02:16  ,93.484375,122.0,--,98.0,118.0,25.36,453
Summary,07:08:04.836,05:25:18.00,28.89,228,230,0:14:48  ,0:11:15  ,0:02:16  ,84.203125,234.0,--,93.0,122.0,22.02,1525
