Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,07:33:16.174,06:27:54.00,31.95,745,751,0:14:11  ,0:12:08  ,0:05:44  ,91.453125,256.0,--,100.0,138.0,23.14,1943
Summary,07:33:16.174,06:27:54.00,31.95,745,751,0:14:11  ,0:12:08  ,0:05:44  ,91.453125,256.0,--,100.0,138.0,23.14,1943
