Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,10:41:35.859,09:27:36.00,44.13,643,1248,0:14:32  ,0:12:51  ,0:01:19  ,95.125,213.0,--,107.0,146.0,26.96,2912
Summary,10:41:35.859,09:27:36.00,44.13,643,1248,0:14:32  ,0:12:51  ,0:01:19  ,95.125,213.0,--,107.0,146.0,26.96,2912
