Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,03:12:13.843,03:09:26.00,16.15,192,162,0:11:53  ,0:11:43  ,0:08:58  ,111.203125,185.0,--,97.0,128.0,16.74,802
2,00:04:10.580,00:04:09.00,0.34,0,13,0:12:16  ,0:12:11  ,0:10:34  ,112.296875,131.0,--,94.0,98.0,17,14
3,00:00:18.515,00:00:16.00,0.02,0,1,0:13:55  ,0:12:01  ,0:15:00  ,107.21875,108.0,--,90.0,93.0,17,0
4,00:50:36.296,00:41:07.00,3.17,26,10,0:15:57  ,0:12:58  ,0:06:36  ,85.625,193.0,--,98.0,111.0,18.93,184
Summary,04:07:19.234,03:55:09.00,19.69,218,186,0:12:33  ,0:11:56  ,0:06:36  ,105.96875,193.0,--,97.0,128.0,17.19,1000
