Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,04:57:00.568,04:05:20.00,21.47,357,483,0:13:49  ,0:11:25  ,0:05:46  ,94.734375,256.0,--,94.0,128.0,21.56,1170
Summary,04:57:00.568,04:05:20.00,21.47,357,483,0:13:49  ,0:11:25  ,0:05:46  ,94.734375,256.0,--,94.0,128.0,21.56,1170
