Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,04:37:56.241,03:45:51.00,20.48,361,402,0:13:34  ,0:11:01  ,0:04:39  ,97.703125,246.0,--,99.0,131.0,18.66,1147
Summary,04:37:56.241,03:45:51.00,20.48,361,402,0:13:34  ,0:11:01  ,0:04:39  ,97.703125,246.0,--,99.0,131.0,18.66,1147
