Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,05:35:41.412,04:58:45.00,25.01,413,461,0:13:25  ,0:11:56  ,0:07:26  ,97.625,226.0,--,105.0,139.0,18.32,1479
Summary,05:35:41.412,04:58:45.00,25.01,413,461,0:13:25  ,0:11:56  ,0:07:26  ,97.625,226.0,--,105.0,139.0,18.32,1479
