Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,05:50:16.678,04:10:12.00,21.66,324,77,0:16:09  ,0:11:33  ,0:05:15  ,75.21875,192.0,--,102.0,132.0,21.76,1433
Summary,05:50:16.678,04:10:12.00,21.66,324,77,0:16:09  ,0:11:33  ,0:05:15  ,75.21875,192.0,--,102.0,132.0,21.76,1433
