Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,01:50:18.560,01:21:11.00,7.08,40,124,0:15:34  ,0:11:27  ,0:05:49  ,86.671875,256.0,--,108.0,146.0,19.93,535
2,00:18:39.414,00:17:28.00,1.34,51,4,0:13:53  ,0:13:00  ,0:11:13  ,98.953125,135.0,--,122.0,147.0,18,127
3,00:00:24.533,00:00:00.00,0,0,0,2:10:12  ,--,--,0.0,0.0,--,123.0,125.0,22.62,2
4,00:31:56.518,00:29:00.00,2.31,23,122,0:13:50  ,0:12:33  ,0:09:01  ,101.65625,162.0,--,108.0,130.0,20.46,116
5,00:00:21.169,00:00:16.00,0.02,0,1,0:15:06  ,0:11:25  ,0:13:13  ,107.625,111.0,--,97.0,98.0,23,0
6,03:31:43.787,02:36:29.00,11.93,160,430,0:17:44  ,0:13:06  ,0:07:58  ,80.921875,256.0,--,109.0,160.0,24,903
Summary,06:13:23.980,04:44:32.00,22.69,274,682,0:16:27  ,0:12:32  ,0:05:49  ,85.328125,256.0,--,109.0,160.0,22.2,1683
