Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,02:12:54.584,01:41:37.00,7.53,590,23,0:17:39  ,0:13:29  ,0:08:07  ,78.78125,256.0,--,135.0,167.0,28.08,1160
2,00:10:03.280,00:09:15.00,0.63,29,2,0:15:59  ,0:14:42  ,0:10:15  ,94.78125,124.0,--,129.0,148.0,29.84,39
3,00:00:00.820,--,0,0,0,0:39:01  ,--,0:27:03  ,0.0,0.0,--,124.0,124.0,--,0
Summary,02:22:58.684,01:50:55.00,8.16,620,25,0:17:31  ,0:13:35  ,0:08:07  ,79.90625,256.0,--,135.0,167.0,28.2,1199
