Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,04:37:00.419,04:17:33.00,20.19,291,290,0:13:43  ,0:12:45  ,0:03:28  ,97.15625,256.0,--,106.0,156.0,22.58,1240
2,00:34:11.94,00:33:02.00,2.62,0,53,0:13:02  ,0:12:35  ,0:10:26  ,103.265625,121.0,--,107.0,121.0,24.12,145
3,00:31:05.195,00:29:29.00,2.28,22,24,0:13:36  ,0:12:55  ,0:10:34  ,100.28125,132.0,--,108.0,128.0,25.36,139
4,01:04:49.955,00:55:37.00,4.11,51,57,0:15:46  ,0:13:31  ,0:07:26  ,88.71875,226.0,--,105.0,129.0,29.33,263
Summary,06:47:06.664,06:15:43.00,29.21,364,424,0:13:56  ,0:12:51  ,0:03:28  ,96.5625,256.0,--,106.0,156.0,24,1787
