Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,01:47:04.905,01:41:51.00,8.12,488,13,0:13:11  ,0:12:32  ,0:06:04  ,101.890625,181.0,--,141.0,162.0,18.25,957
2,00:27:53.524,00:26:03.00,2.1,30,21,0:13:18  ,0:12:26  ,0:09:48  ,102.640625,138.0,--,123.0,147.0,20.57,95
3,01:14:13.836,01:09:29.00,4.93,141,294,0:15:04  ,0:14:06  ,0:09:26  ,100.765625,233.0,--,121.0,153.0,21.64,336
4,00:19:43.211,00:18:50.00,1.38,0,167,0:14:19  ,0:13:41  ,0:09:39  ,106.203125,192.0,--,110.0,117.0,24.62,67
5,00:19:17.754,00:10:20.00,0.86,9,30,0:22:31  ,0:12:03  ,0:09:33  ,64.640625,233.0,--,107.0,130.0,24.54,68
6,00:00:02.50,--,0,0,0,0:16:57  ,--,0:24:48  ,0.0,0.0,--,110.0,110.0,--,0
Summary,04:08:15.280,03:46:56.00,17.37,668,526,0:14:17  ,0:13:03  ,0:06:04  ,99.09375,233.0,--,128.0,162.0,20.52,1523
